"filename", "language", "JSON", "TypeScript", "vue", "comment", "blank", "total"
"d:\Vue_project\happy-trade-vue\auto-imports.d.ts", "TypeScript", 0, -1, 0, 0, 1, 0
"d:\Vue_project\happy-trade-vue\components.d.ts", "TypeScript", 0, 2, 0, 0, 0, 2
"d:\Vue_project\happy-trade-vue\package-lock.json", "JSON", 57, 0, 0, 0, 0, 57
"d:\Vue_project\happy-trade-vue\package.json", "JSON", 3, 0, 0, 0, 0, 3
"d:\Vue_project\happy-trade-vue\src\App.vue", "vue", 0, 0, -32, 0, -8, -40
"d:\Vue_project\happy-trade-vue\src\common\constant.ts", "TypeScript", 0, 2, 0, 0, 3, 5
"d:\Vue_project\happy-trade-vue\src\components\BidStep1.vue", "vue", 0, 0, -7, 0, -2, -9
"d:\Vue_project\happy-trade-vue\src\components\BidStep2.vue", "vue", 0, 0, 5, 0, 1, 6
"d:\Vue_project\happy-trade-vue\src\components\BidStep3.vue", "vue", 0, 0, 4, 0, 0, 4
"d:\Vue_project\happy-trade-vue\src\components\Header.vue", "vue", 0, 0, 22, 0, 0, 22
"d:\Vue_project\happy-trade-vue\src\entity\Commodity.ts", "TypeScript", 0, -19, 0, 0, -2, -21
"d:\Vue_project\happy-trade-vue\src\entity\CommodityBid.ts", "TypeScript", 0, -14, 0, 0, -1, -15
"d:\Vue_project\happy-trade-vue\src\entity\CommonResult.ts", "TypeScript", 0, -6, 0, 0, 0, -6
"d:\Vue_project\happy-trade-vue\src\entity\Resource.ts", "TypeScript", 0, -8, 0, 0, 0, -8
"d:\Vue_project\happy-trade-vue\src\entity\User.ts", "TypeScript", 0, -12, 0, 0, -1, -13
"d:\Vue_project\happy-trade-vue\src\entity\UserAddress.ts", "TypeScript", 0, -13, 0, 0, 0, -13
"d:\Vue_project\happy-trade-vue\src\interface\Commodity.ts", "TypeScript", 0, 19, 0, 0, 2, 21
"d:\Vue_project\happy-trade-vue\src\interface\CommodityBid.ts", "TypeScript", 0, 14, 0, 0, 1, 15
"d:\Vue_project\happy-trade-vue\src\interface\CommonResult.ts", "TypeScript", 0, 6, 0, 0, 0, 6
"d:\Vue_project\happy-trade-vue\src\interface\Resource.ts", "TypeScript", 0, 8, 0, 0, 0, 8
"d:\Vue_project\happy-trade-vue\src\interface\User.ts", "TypeScript", 0, 13, 0, 0, 1, 14
"d:\Vue_project\happy-trade-vue\src\interface\UserAddress.ts", "TypeScript", 0, 13, 0, 0, 0, 13
"d:\Vue_project\happy-trade-vue\src\main.ts", "TypeScript", 0, 4, 0, 0, 3, 7
"d:\Vue_project\happy-trade-vue\src\router\index.ts", "TypeScript", 0, 0, 0, 0, 1, 1
"d:\Vue_project\happy-trade-vue\src\shims-vue.d.ts", "TypeScript", 0, 2, 0, 0, 1, 3
"d:\Vue_project\happy-trade-vue\src\stores\index.ts", "TypeScript", 0, 85, 0, 5, 10, 100
"d:\Vue_project\happy-trade-vue\src\util\fetchUtil.ts", "TypeScript", 0, 36, 0, 5, 6, 47
"d:\Vue_project\happy-trade-vue\src\views\Commodity.vue", "vue", 0, 0, 371, 1, 24, 396
"d:\Vue_project\happy-trade-vue\src\views\Search.vue", "vue", 0, 0, 4, 0, 3, 7
"Total", "-", 60, 131, 367, 11, 43, 612