"filename", "language", "TypeScript", "HTML", "JSON with Comments", "JSON", "Markdown", "vue", "XML", "CSS", "comment", "blank", "total"
"d:\Vue_project\happy-trade-vue\README.md", "Markdown", 0, 0, 0, 0, 25, 0, 0, 0, 0, 16, 41
"d:\Vue_project\happy-trade-vue\auto-imports.d.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 1, 2, 6
"d:\Vue_project\happy-trade-vue\components.d.ts", "TypeScript", 86, 0, 0, 0, 0, 0, 0, 0, 3, 3, 92
"d:\Vue_project\happy-trade-vue\env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"d:\Vue_project\happy-trade-vue\index.html", "HTML", 0, 13, 0, 0, 0, 0, 0, 0, 0, 1, 14
"d:\Vue_project\happy-trade-vue\package-lock.json", "JSON", 0, 0, 0, 2690, 0, 0, 0, 0, 0, 1, 2691
"d:\Vue_project\happy-trade-vue\package.json", "JSON", 0, 0, 0, 32, 0, 0, 0, 0, 0, 1, 33
"d:\Vue_project\happy-trade-vue\public\img\error.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\Vue_project\happy-trade-vue\public\img\loading.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\Vue_project\happy-trade-vue\src\App.vue", "vue", 0, 0, 0, 0, 0, 191, 0, 0, 1, 33, 225
"d:\Vue_project\happy-trade-vue\src\assets\css\global.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 6
"d:\Vue_project\happy-trade-vue\src\assets\css\reset.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 42, 1, 0, 43
"d:\Vue_project\happy-trade-vue\src\common\constant.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 8, 18
"d:\Vue_project\happy-trade-vue\src\components\BidStep1.vue", "vue", 0, 0, 0, 0, 0, 159, 0, 0, 1, 23, 183
"d:\Vue_project\happy-trade-vue\src\components\BidStep2.vue", "vue", 0, 0, 0, 0, 0, 150, 0, 0, 0, 26, 176
"d:\Vue_project\happy-trade-vue\src\components\BidStep3.vue", "vue", 0, 0, 0, 0, 0, 105, 0, 0, 0, 12, 117
"d:\Vue_project\happy-trade-vue\src\components\Header.vue", "vue", 0, 0, 0, 0, 0, 117, 0, 0, 0, 10, 127
"d:\Vue_project\happy-trade-vue\src\components\Search.vue", "vue", 0, 0, 0, 0, 0, 59, 0, 0, 0, 7, 66
"d:\Vue_project\happy-trade-vue\src\components\icons\IconCommunity.vue", "vue", 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"d:\Vue_project\happy-trade-vue\src\components\icons\IconDocumentation.vue", "vue", 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"d:\Vue_project\happy-trade-vue\src\components\icons\IconEcosystem.vue", "vue", 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"d:\Vue_project\happy-trade-vue\src\components\icons\IconSupport.vue", "vue", 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"d:\Vue_project\happy-trade-vue\src\components\icons\IconTooling.vue", "vue", 0, 0, 0, 0, 0, 18, 0, 0, 1, 1, 20
"d:\Vue_project\happy-trade-vue\src\interface\Commodity.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 2, 21
"d:\Vue_project\happy-trade-vue\src\interface\CommodityBid.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16
"d:\Vue_project\happy-trade-vue\src\interface\CommonResult.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"d:\Vue_project\happy-trade-vue\src\interface\Order.ts", "TypeScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 1, 28
"d:\Vue_project\happy-trade-vue\src\interface\Resource.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"d:\Vue_project\happy-trade-vue\src\interface\User.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"d:\Vue_project\happy-trade-vue\src\interface\UserAddress.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"d:\Vue_project\happy-trade-vue\src\main.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 5, 23
"d:\Vue_project\happy-trade-vue\src\router\index.ts", "TypeScript", 59, 0, 0, 0, 0, 0, 0, 0, 1, 3, 63
"d:\Vue_project\happy-trade-vue\src\shims-vue.d.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"d:\Vue_project\happy-trade-vue\src\stores\index.ts", "TypeScript", 98, 0, 0, 0, 0, 0, 0, 0, 6, 15, 119
"d:\Vue_project\happy-trade-vue\src\util\fetchUtil.ts", "TypeScript", 36, 0, 0, 0, 0, 0, 0, 0, 5, 6, 47
"d:\Vue_project\happy-trade-vue\src\views\About.vue", "vue", 0, 0, 0, 0, 0, 14, 0, 0, 0, 2, 16
"d:\Vue_project\happy-trade-vue\src\views\Commodity.vue", "vue", 0, 0, 0, 0, 0, 979, 0, 0, 1, 147, 1127
"d:\Vue_project\happy-trade-vue\src\views\Index.vue", "vue", 0, 0, 0, 0, 0, 217, 0, 0, 0, 2, 219
"d:\Vue_project\happy-trade-vue\src\views\Search.vue", "vue", 0, 0, 0, 0, 0, 231, 0, 0, 0, 40, 271
"d:\Vue_project\happy-trade-vue\src\views\backstage\buyer\Bid.vue", "vue", 0, 0, 0, 0, 0, 86, 0, 0, 0, 2, 88
"d:\Vue_project\happy-trade-vue\src\views\backstage\buyer\Index.vue", "vue", 0, 0, 0, 0, 0, 107, 0, 0, 0, 10, 117
"d:\Vue_project\happy-trade-vue\src\views\backstage\buyer\Order.vue", "vue", 0, 0, 0, 0, 0, 155, 0, 0, 0, 27, 182
"d:\Vue_project\happy-trade-vue\src\views\backstage\buyer\OrderDetail.vue", "vue", 0, 0, 0, 0, 0, 285, 0, 0, 0, 42, 327
"d:\Vue_project\happy-trade-vue\tsconfig.config.json", "JSON", 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"d:\Vue_project\happy-trade-vue\tsconfig.json", "JSON with Comments", 0, 0, 11, 0, 0, 0, 0, 0, 15, 0, 26
"d:\Vue_project\happy-trade-vue\vite.config.ts", "TypeScript", 23, 0, 0, 0, 0, 0, 0, 0, 1, 3, 27
"Total", "-", 437, 13, 11, 2730, 25, 2901, 2, 48, 38, 459, 6664